Token,Tag
es,Spn
el,Spn
español,Spn
de,Spn
esta,Spn
área,Spn
o,Spn
quizás,Spn
también,Spn
del,Spn
área,Spn
del,Spn
Valle,NamedEnt
con,Spn
el,Spn
español,Spn
de,Spn
México?,Spn
O,Spn
sea,,Spn
¿qué,Spn
diferencias,Spn
existen?,Spn
>>s:,Spn
Ah,,Spn
es,Spn
más,Spn
fuerte,Spn
el,Spn
acento.,Spn
Uhm...hay,Spn
gentes,Spn
que,Spn
he,Spn
conocido,Spn
como,,Spn
no,Spn
sé,,Spn
de,Spn
Nuevo,Spn
León,Spn
o,Spn
más,Spn
de,Spn
Nuevo,Spn
León,Spn
porque,Spn
hay,Spn
gente,,Spn
en,Spn
El,Spn
Valle,NamedEnt
hay,Spn
bastante,Spn
gente,Spn
de,Spn
Nuevo,Spn
León,Spn
y,Spn
está,Spn
muy,Spn
heavy,,Eng
está,Spn
muy,Spn
pesado,Spn
el...el...las...como,Spn
lo,Spn
hablan.,Spn
Uhm...y,Spn
yo,Spn
digo,Spn
que,,Spn
pero,Spn
como,Spn
no,Spn
me,Spn
oigo,Spn
yo,Spn
siempre,Spn
no,Spn
sé,Spn
si,Spn
se,Spn
oiga,Spn
igual,Spn
o,Spn
si,Spn
haiga,Spn
un,Spn
diferente,Spn
acento,,Spn
pero,Spn
sí,Spn
sé,,Spn
yo,Spn
sí,Spn
oigo,Spn
la,Spn
diferencia.,Spn
>>i:,Spn
Y,Spn
bueno,,Spn
mencionaste,Spn
hace,Spn
poco,Spn
que,Spn
te,Spn
dijo,Spn
tu,Spn
mamá,Spn
que,Spn
hablas,Spn
el,Spn
español,Spn
mocho.,Spn
>>s:,Spn
[Risas],NamedEnt
Sí,,Spn
sí.,Spn
>>i:,Spn
Y,Spn
has,Spn
escuchado,Spn
obvio,Spn
las,Spn
palabras,Spn
pocho,Spn
o,Spn
Spanglish,,Eng
¿no?,Spn
>>s:,Spn
Aha.,Spn
>>i:,Spn
¿Qué...qué,Spn
significan,Spn
esas,Spn
palabras,Spn
para,Spn
ti?,Spn
O,Spn
sea,,Spn
¿cómo,,Eng
crees,Spn
que,Spn
son,Spn
palabras,Spn
negativas?,Spn
>>s:,Spn
No.,Spn
No,,Spn
no.,Spn
Es,Spn
slang.,Spn
Cómo...para,Spn
mí,Spn
no,Spn
es,Spn
malo,,Spn
pero,Spn
si,Spn
vas,Spn
a,Spn
hablar,Spn
prof...pref...,Spn
profesionalmente,Spn
con,Spn
alguien,Spn
es,Spn
importante,Spn
que,Spn
no...no,Spn
hables,Spn
así,Spn
el,Spn
Tex-Mex.,Spn
Sí,Spn
es,Spn
importante,Spn
que,Spn
si,Spn
vas,Spn
a,Spn
hablar,Spn
con,Spn
alguien,Spn
que,Spn
sí,Spn
lo,Spn
sabe,Spn
hablar,Spn
bien,,Spn
que,,Spn
o,Spn
si,Spn
vas,Spn
a,Spn
hacer,Spn
un...si,Spn
vas,Spn
a,Spn
ir,Spn
como,Spn
por,Spn
ejemplo,Spn
si,Spn
vas,Spn
a,Spn
hacer...ir,Spn
a,Spn
un,Spn
trabajo,Spn
y,Spn
necesitas,Spn
que,Spn
saber,Spn
el,Spn
español,Spn
es,Spn
importante,Spn
que,Spn
lo,Spn
hables,Spn
bien,,Spn
uhm...pero,Spn
si,Spn
estás,Spn
con,Spn
amigos,,Spn
con,Spn
familias,,Spn
no,Spn
le,Spn
pongo,Spn
atención,,Spn
so...,Spn
>>i:,Spn
Y,Spn
cuando,Spn
escuchas,Spn
a,Spn
una,Spn
persona,Spn
extraña,Spn
mezclando,Spn
los,Spn
idiomas,,Spn
¿qué,,Spn
cómo,Spn
lo,Spn
interpretas?,Spn
¿Crees,Spn
que,Spn
es,Spn
algo,Spn
malo,Spn
o,Spn
te,Spn
parece,Spn
extraño,Spn
de,Spn
alguna,Spn
forma?,Spn
>>s:,Spn
No,,Spn
no,,Spn
para,Spn
nada.,Spn
Uhm...o,Spn
sea,,Spn
para,Spn
mí,,Spn
pensaría,Spn
que,Spn
es,Spn
algo,Spn
que,Spn
lo,Spn
hace,Spn
naturalmente,,Spn
so,Eng
no,Spn
creo,Spn
que,Spn
sea,Spn
algo,Spn
malo.,Spn
Especialmente,,Spn
I,Eng
mean,,Eng
si,Spn
no,Spn
tienen,,Spn
si,Spn
no...si,Spn
están,Spn
hablando,Spn
así,Spn
uhm...casualmente,Spn
o,Spn
sea,,Spn
me,Spn
parece,Spn
bien.,Spn
>>i:,Spn
¿Y,Spn
tú,Spn
hoy,Spn
en,Spn
día,Spn
hablas,Spn
el,Spn
español,Spn
a,Spn
diario?,Spn
>>s:,Spn
No,,Spn
uhm...casi,Spn
desde,Spn
que,Spn
llegué,Spn
para,Spn
Austin,,NamedEnt
uhm...casi,Spn
no,Spn
lo,Spn
hablo,Spn
en...casi,Spn
no,Spn
hablo,Spn
español.,Spn
Pero,Spn
uhm...ah...sí,Spn
lo,Spn
hablo,,Spn
cuando,Spn
hablo,Spn
con,Spn
mi,Spn
mamá,Spn
por,Spn
teléfono,Spn
es,Spn
cuando,,Spn
es,Spn
las,Spn
únicas,Spn
veces,Spn
que,Spn
hablo,Spn
en,Spn
español.,Spn
>>i:,Spn
Y,Spn
fuera,Spn
de,Spn
eso,Spn
es,Spn
puro,Spn
inglés,,Spn
¿no?,Spn
>>s:,Spn
Eh...sí,,Spn
aquí...¿cómo?,Spn
>>i:,Spn
Y,Spn
fuera,,Spn
o,Spn
sea,Spn
fuera,Spn
de,Spn
hablar,Spn
con,Spn
tu,Spn
mamá,Spn
es,Spn
puro,Spn
inglés,Spn
en,Spn
Austin.,NamedEnt
>>s:,Spn
Oh,,Spn
sí,,Spn
fuera,Spn
de,Spn
hablar,Spn
con,Spn
mi,Spn
mamá,Spn
es,Spn
puro,Spn
inglés,Spn
y,Spn
a,Spn
veces,Spn
con,Spn
mis,Spn
amigas,Spn
que,Spn
vinieron,Spn
del,Spn
Valle,NamedEnt
conmigo,Spn
uhm...sí,Spn
decimos:,Spn
okay,,Spn
para,Spn
que,Spn
no,Spn
se,Spn
nos,Spn
olvide,Spn
el,Spn
español,Spn
vamos,Spn
a,Spn
hablar,Spn
español.,Spn
Pero,Spn
se,Spn
nos,Spn
olvida,Spn
y,Spn
comenzamos,Spn
a,Spn
hablar,Spn
en,Spn
inglés,Spn
otra,Spn
vez.,Spn
>>i:,Spn
¿Y,Spn
tú,Spn
te,Spn
sientes,Spn
cómoda,Spn
hablando,Spn
español?,Spn
>>s:,Spn
Sí,,Spn
sí,,Spn
ehm...,Spn
>>i:,Spn
¿Y,Spn
qué,Spn
tal,Spn
escribirlo?,Spn
>>s:,Spn
No,Spn
estoy,Spn
tan,Spn
mal.,Spn
Me...odio,Spn
esas,Spn
cosas,,Spn
¿cómo,Spn
se,Spn
dicen?,Spn
Las...,Spn
>>i:,Spn
Los,Spn
acentos.,Spn
>>s:,Spn
Los,Spn
acentos,Spn
arriba.,Spn
Nunca...nunca,Spn
se,Spn
me,Spn
entró,Spn
eso,,Spn
pero,Spn
sí,Spn
sé,Spn
leerlo,Spn
y,Spn
escribirlo.,Spn
No,Spn
será...no,Spn
seré,Spn
la,Spn
mejor,Spn
en,Spn
escribirlo,,Spn
pero,Spn
se,Spn
entiende.,Spn
>>i:,Spn
¿Y,Spn
te,Spn
sientes,Spn
más,Spn
cómoda,Spn
con,Spn
el,Spn
inglés?,Spn
¿Hablándolo,,Spn
escribiéndolo?,Spn
>>s:,Spn
Ah,,Spn
me,Spn
siento,Spn
igual.,Spn
No,Spn
te,Spn
voy,Spn
a,Spn
mentir.,Spn
Uhm...me,Spn
siento,Spn
igual.,Spn
Siento,Spn
que,Spn
en,Spn
veces,Spn
hay,Spn
cosas,Spn
en,Spn
inglés,Spn
que,Spn
batallo,Spn
y,Spn
eso,Spn
que,Spn
lo,Spn
he,Spn
hablado,Spn
casi,Spn
toda,Spn
mi...casi,Spn
toda,Spn
mi,Spn
vida.,Spn
Pero,Spn
a,Spn
veces,Spn
sí,Spn
me...me,Spn
siento,Spn
nerviosa,Spn
a,Spn
veces,,Spn
a,Spn
ver,Spn
si,Spn
no,Spn
lo,Spn
escribí,Spn
mal,Spn
porque,Spn
estoy,Spn
pensando,Spn
en,Spn
que,Spn
se,Spn
escribe,Spn
en,Spn
otra...en,Spn
otra,Spn
manera,,Spn
uhm...pero,Spn
a,Spn
veces,Spn
los,Spn
dos,Spn
me,Spn
dan,Spn
un,Spn
poquito,Spn
uhm...de,Spn
nervios,Spn
eh...y,Spn
más,Spn
porque,Spn
como,Spn
el,Spn
inglés,Spn
se,Spn
usa,Spn
bastante,Spn
aquí,Spn
pues,Spn
aquí,Spn
en,Spn
los,Spn
Estados,Spn
Unidos,,NamedEnt
lo,Spn
tengo,Spn
que,Spn
hacer,Spn
correctamente,,Spn
so,,Spn
es,Spn
un,Spn
poquito,Spn
más...me...,Spn
lo,Spn
pienso,Spn
más.,Spn
>>i:,Spn
¿Puedes,Spn
contarme,Spn
acerca,Spn
de,Spn
tus,Spn
creencias,Spn
religiosas,Spn
o,Spn
tus,Spn
creencias,Spn
espirituales?,Spn
>>s:,Spn
Sí.,Spn
Uhm...cuando...desde,Spn
que,Spn
llegué,Spn
a,Spn
Austin...soy,Eng
católica,Spn
primero,Spn
que,Spn
todo.,Spn
Pero,Spn
uhm...desde,Spn
que,Spn
llegué,Spn
a,Spn
Austin,NamedEnt
no,Spn
practico,Spn
nada.,Spn
No...cuando,Spn
vivía,Spn
en,Spn
Edinburg,,NamedEnt
desde,Spn
que,Spn
estaba,Spn
chiquita,NamedEnt
mi,Spn
mamá,Spn
siempre,Spn
me,Spn
dijo:,Spn
¿quieres,Spn
hacer,Spn
la,Spn
comunión?,Spn
Siempre,Spn
me,Spn
dio...me,Spn
dejó,Spn
decidir,Spn
y,Spn
pues,Spn
yo,Spn
le,Spn
trataba,Spn
de...fui...comencé,Spn
con,Spn
mi,Spn
comunión,,Spn
uhm...confirmación,,Spn
todo,Spn
eso,Spn
y,Spn
estaba,Spn
envolvida,Spn
en,Spn
eso.,Spn
Sí,,Spn
cada,Spn
domingo,Spn
iba,Spn
a,Spn
la,Spn
iglesia,Spn
uhm...hasta,Spn
me,Spn
puse,Spn
de,Spn
maestra,Spn
a,Spn
las,Spn
clases,Spn
de,Spn
catelo...,Spn
>>i:,Spn
Catolicismo.,Spn
>>s:,Spn
Catelo...,Spn
>>i:,Spn
Catolicismo.,Spn
>>s:,Spn
Catolicismo.,Spn
Sí,,Spn
de,Spn
catolicismo,Spn
y,Spn
uhm...a,Spn
primero,Spn
lo,Spn
hice,Spn
porque,Spn
necesitaba,Spn
horas,Spn
para,Spn
la,Spn
escuela,,Spn
tener,Spn
horas,Spn
de,Spn
comunidad,,Spn
ah...community,Eng
hours.,Eng
Uhm,,Eng
comunidades,,Spn
sí,,Spn
horas,Spn
de...,Spn
>>i:,Spn
O,Spn
sea,,Spn
de,Spn
servicio,Spn
a,Spn
la,Spn
comunidad.,Spn
>>s:,Spn
Sí,,Spn
servicio,Spn
a,Spn
la,Spn
comunidad.,Spn
Y,,Spn
primero,Spn
les,Spn
hacía,Spn
por,Spn
eso,Spn
y,Spn
porque,Spn
necesitaba,Spn
horas,Spn
para,Spn
hacer,Spn
mi,Spn
comunión,Spn
también.,Spn
I,Eng
mean,,Eng
mi,Spn
confirmación,Spn
y,Spn
por,Spn
eso,Spn
lo,Spn
hacía.,Spn
Pero,Spn
ya,Spn
después,Spn
de,Spn
que,Spn
terminé,Spn
mi,Spn
confirmación,,Spn
antes,Spn
de,Spn
que,Spn
me,Spn
viniera,Spn
al,Spn
colegio,Spn
o,Spn
a,Spn
la,Spn
universidad,Spn
uhm...sí,Spn
lo,Spn
hacía,Spn
un,Spn
poquito,,Spn
uhm...,Spn
>>i:,Spn
¿Y,Spn
alguna,Spn
vez,,Spn
este...has,Spn
experimentado,Spn
algún,Spn
milagro?,Spn
>>s:,Spn
Mmm...¿milagro?,Spn
No,Spn
creo.,Spn
Mmm...,Spn
>>i:,Spn
Entonces,,Spn
¿cuál,Spn
ha,Spn
sido,Spn
el,Spn
momento,Spn
más,Spn
espiritual,Spn
o,Spn
el,Spn
momento,Spn
espiritual,Spn
más,Spn
profundo,Spn
de,Spn
tu,Spn
vida?,Spn
>>s:,Spn
Wow.,Spn
Uhm...no,Spn
sabría,Spn
contestar,Spn
eso.,Spn
Uhm...no,Spn
sé...la,Spn
verdad,Spn
no...tengo,Spn
fe,,Spn
eso,Spn
sí,Spn
te,Spn
puedo,Spn
decir.,Spn
Uhm...mi,Spn
mamá,Spn
siempre,Spn
me,Spn
dijo:,Spn
tener,Spn
fe,Spn
es,Spn
bueno.,Spn
Soy,Spn
muy...soy,Spn
muy,Spn
creyente,Spn
en...en,Spn
que,Spn
existan,Spn
cosas,Spn
más,Spn
allá,Spn
de,Spn
lo,Spn
que,Spn
vemos.,Spn
Eso,Spn
sí,Spn
lo,Spn
creo,,Spn
pero,Spn
que,Spn
me,Spn
ha,Spn
pasado,Spn
a,Spn
mí,Spn
no.,Spn
Y,Spn
cuando,Spn
oigo,Spn
historias,Spn
lo,Spn
creo.,Spn
>>i:,Spn
¿Y,Spn
tú,Spn
crees,,Spn
tú,Spn
crees,Spn
en,Spn
la,Spn
vida,Spn
después,Spn
de,Spn
la,Spn
muerte?,Spn
>>s:,Spn
Sí,,Spn
sí.,Spn
>>i:,Spn
¿Cómo,Spn
crees,,Spn
cómo,Spn
crees,Spn
que,Spn
será?,Spn
>>s:,Spn
No,Spn
sé.,Spn
Pero...me,Spn
ima...no,Spn
sé.,Spn
Uhm...creo,Spn
que,Spn
será,Spn
más,,Spn
ah...con,Spn
más,Spn
paz,Spn
porque,Spn
ya,Spn
viviste,Spn
lo,Spn
más...yo,Spn
creo,Spn
que,Spn
antes,Spn
de,Spn
que,Spn
te,Spn
mueres,Spn
has...has,Spn
vivido,Spn
mucho,,Spn
has,Spn
tenido,Spn
más...,Spn
muchas,Spn
experiencias,Spn
malas,Spn
a,Spn
la,Spn
mejor,Spn
o,Spn
cosas,Spn
que,Spn
no,Spn
te,Spn
gusten,Spn
y,Spn
yo,Spn
digo,Spn
que,Spn
ya,Spn
cuando,Spn
te,Spn
mueres,Spn
ya,Spn
es,Spn
más,Spn
pacífico,,Spn
más,,Spn
va,Spn
a,Spn
ser,Spn
más,Spn
uhm...va,Spn
a,Spn
ser,Spn
más,Spn
mejor.,Spn
>>i:,Spn
Y,Spn
si,,Spn
bueno,,Spn
¿si,Spn
conoces,Spn
a,Spn
Dios,NamedEnt
eh...,Spn
qué,Spn
crees,Spn
que,Spn
te,Spn
gustaría,Spn
decirle?,Spn
>>s:,Spn
[Risas],NamedEnt
Gracias.,Spn
Gracias,Spn
por,Spn
ver...por,Spn
haber,Spn
dádome,Spn
vida.,Spn
Se,Spn
me,Spn
hace,Spn
que.,Spn
No,Spn
sé,Spn
si,Spn
estuviera,Spn
enojada,Spn
por...enojada,Spn
con,Spn
él,Spn
o,Spn
no,,Spn
pero...,Spn
>>i:,Spn
No,,Spn
no.,Spn
Está,Spn
bien.,Spn
>>s:,Spn
Pero,Spn
sí,Spn
nunca,Spn
había,Spn
pensado,Spn
en,Spn
eso,,Spn
pero,Spn
creo,Spn
que,Spn
sí,Spn
me,Spn
gustaría.,Spn
Fuera,Spn
padre,,NamedEnt
fíjate,,Spn
no,Spn
sé,Spn
si,Spn
sea,Spn
verdad,Spn
que,Spn
lo,Spn
puedes,Spn
conocer,Spn
un,Spn
día,,Spn
pero,Spn
si,,Spn
si,Spn
se,Spn
puede,Spn
que,Spn
padre,,NamedEnt
¿verdad?,Spn
>>i:,Spn
Bueno,,Spn
y,Spn
este,,Spn
cambiando,Spn
el,Spn
tema,,Spn
¿tú,Spn
tienes,Spn
un,Spn
amor,Spn
en,Spn
tu,Spn
vida?,Spn
>>s:,Spn
No,,Spn
nunca...no,,Spn
no,Spn
me,Spn
he,Spn
enamorado,,Spn
no.,Spn
>>i:,Spn
¿Alguna,Spn
vez?,Spn
¿Nunca,Spn
has,Spn
estado,Spn
enamorada?,Spn
>>s:,Spn
Bueno,,Spn
una,Spn
vez.,Spn
Sí,,Spn
una,Spn
vez,Spn
sí,,Spn
creo.,Spn
Pero,Spn
ahorita,Spn
se,Spn
me,Spn
hace,Spn
que,Spn
eso,Spn
está,Spn
debajo,Spn
de,Spn
mi,Spn
lista,,Spn
abajo,Spn
de,Spn
mi,Spn
lista.,Spn
Es...eso,Spn
ahorita,Spn
no,Spn
me,Spn
preocupa.,Spn
Lo,Spn
más,Spn
importante,Spn
para,Spn
mí,Spn
es,Spn
mi,Spn
educación,Spn
y,Spn
lo,Spn
que,Spn
quiero,Spn
hacer,Spn
con,Spn
mi,Spn
vida,Spn
porque,Spn
creo,Spn
que,Spn
no,Spn
tuviera,Spn
tiempo,Spn
de...de,Spn
ponerle,Spn
atención,Spn
a,Spn
alguien,Spn
porque,Spn
para,Spn
una,Spn
relación,Spn
necesitas,Spn
que,Spn
ponerle,Spn
atención,,Spn
pero,Spn
no,,Spn
no.,Spn
>>i:,Spn
¿Y,Spn
hay,Spn
algo,Spn
que,Spn
has,Spn
aprendido,Spn
de,Spn
tus,Spn
relaciones,Spn
románticas,Spn
que,Spn
te,Spn
ayuda,Spn
en,Spn
tu,Spn
vida,Spn
personal?,Spn
>>s:,Spn
¿Que,Spn
si,Spn
he,Spn
aprendido,Spn
algo?,Spn
>>i:,Spn
O,Spn
sea,,Spn
¿existe,Spn
algo,Spn
que,Spn
has,Spn
aprendido,Spn
de,Spn
esas,Spn
relaciones,Spn
anteriores,Spn
que,Spn
te,Spn
ayuda,Spn
hoy,Spn
en,Spn
día,Spn
en,Spn
tu,Spn
vida,Spn
personal,Spn
como,Spn
soltera?,Spn
>>s:,Spn
Uhm...te,Spn
tienes,Spn
que,Spn
conocer,Spn
a,Spn
ti,Spn
misma,Spn
o,Spn
a,Spn
ti,Spn
mismo.,Spn
Eso,Spn
sí,Spn
es,Spn
muy,Spn
importante.,Spn
Antes,Spn
de,Spn
comenzar,Spn
una,Spn
relación,Spn
te,Spn
tienes,Spn
que,Spn
conocer,Spn
tú,Spn
uhm...porque,Spn
es,Spn
importante,Spn
que...que,Spn
cuando,Spn
tú,Spn
te,Spn
conoces,Spn
que,Spn
la,Spn
otra,Spn
persona,Spn
te,Spn
quiera,Spn
como,Spn
eres,,Spn
no,Spn
importa,Spn
los,Spn
defectos,Spn
que,Spn
tengas,,Spn
que,Spn
te,Spn
aguanten,Spn
como,Spn
eres.,Spn
So,,Spn
si,Spn
tú,Spn
te,Spn
aguantas,Spn
tú,Spn
misma,Spn
te,Spn
tiene,Spn
que,Spn
aguantar,Spn
esa,Spn
persona,Spn
también,,Spn
si,Spn
no,Spn
para,Spn
fuera,,Spn
bye,Eng
bye.,Eng
>>i:,Spn
Si,Spn
no,Spn
no,Spn
vale,Spn
la,Spn
pena,,Spn
¿no?,Spn
>>s:,Spn
Aha.,Spn
>>i:,Spn
Y,Spn
bueno,,Spn
Karla,,NamedEnt
tú,Spn
y,Spn
yo,Spn
ya,Spn
somos,Spn
amigos,Spn
de,Spn
dos,Spn
años,,Spn
¿no?,Spn
>>s:,Spn
Sí.,Spn
>>i:,Spn
Este...¿cuál,Spn
es,Spn
tu,Spn
primer,Spn
recuerdo,Spn
de,Spn
mí?,Spn
>>s:,Spn
Uhm...yo,Spn
iba,,Spn
no,Spn
me,Spn
acuerdo,Spn
si,Spn
esa,Spn
fue,Spn
la,Spn
primera,Spn
vez,Spn
que,Spn
te,Spn
conocí,Spn
o,Spn
no,,Spn
pero,Spn
en,Spn
la,Spn
clase,Spn
de,Spn
poetría.,Spn
Uhm...entré,Spn
a,Spn
la,Spn
clase,Spn
y,Spn
vi,Spn
a,Spn
todos,,Spn
estaba,Spn
observando,Spn
a,Spn
todas,Spn
las,Spn
personas,,Spn
no,Spn
te,Spn
voy,Spn
a,Spn
mentir,,Spn
observé,Spn
a,Spn
todas,Spn
las,Spn
personas,Spn
porque,Spn
como,Spn
es,Spn
una,Spn
clase,Spn
chica,,Spn
era,Spn
una,Spn
clase,Spn
chica.,Spn
Uhm...me,Spn
quería,Spn
sentar,Spn
donde,Spn
me,Spn
sintiera,Spn
más,Spn
confortable.,Spn
So,,Spn
te,Spn
miré,Spn
a,Spn
ti,Spn
y,Spn
dije,Spn
yo,Spn
me,Spn
voy,Spn
a,Spn
sentar,Spn
en,Spn
seguida,Spn
de,Spn
esa,Spn
persona.,Spn
[Risas],NamedEnt
Uhm...y,Spn
de,Spn
ahí,Spn
es...me...no,Spn
me,Spn
equivoqué,,Spn
me,Spn
sentí,Spn
bien,Spn
y,Spn
dije,,Spn
comenzamos,Spn
a,Spn
hablar,,Spn
me...me,Spn
hiciste,Spn
conversación,,Spn
creo,Spn
que,Spn
me,Spn
hiciste,Spn
conversación,Spn
y,Spn
ahí,Spn
comenzó,,Spn
ahí.,Spn
>>i:,Spn
¿Y,Spn
hubo,Spn
algún,Spn
momento,Spn
en,Spn
el,Spn
que,Spn
yo,Spn
no,Spn
te,Spn
agradaba?,Spn
>>s:,Spn
No.,Spn
[Risas],NamedEnt
>>i:,Spn
¿Segura?,NamedEnt
>>s:,Spn
No,,Spn
segura.,NamedEnt
No,,Spn
nunca,Spn
me,Spn
sentí,Spn
como,Spn
que:,Spn
ah,,Spn
este,Spn
no,Spn
me,Spn
cae.,Spn
No,,Spn
siempre,Spn
me,Spn
caíste,Spn
desde,Spn
el,Spn
principio.,Spn
>>i:,Spn
¿Y,Spn
por,Spn
qué,Spn
crees,Spn
que,Spn
desde,Spn
el,Spn
principio,Spn
siempre,Spn
nos,Spn
hemos,Spn
llevado,Spn
bien?,Spn
>>s:,Spn
Porque,Spn
somos,Spn
hispanos.,Eng
[Risas],NamedEnt
>>i:,Eng
¿Solo,Eng
por,Spn
eso?,Spn
>>s:,Spn
No,,Spn
pues.,Spn
No,Spn
sé.,Spn
[Risas],NamedEnt
Uhm...creo.,Spn
No,,Spn
porque,Spn
cuando,Spn
comenzamos,Spn
a,Spn
hablar,Spn
tenías,,Spn
me,Spn
gusta,Spn
que,Spn
una,Spn
persona,Spn
tenga,Spn
buen...ah...cuando,Spn
te,Spn
conocí,Spn
tenías,Spn
personalidad.,Spn
Tenías,Spn
personalidad.,Spn
Eras,Spn
muy,Spn
educado.,Spn
No...no,Spn
me,Spn
mirabas,,Spn
porque,Spn
cuando,Spn
entré,Spn
a,Spn
esa,Spn
clase,Spn
la,Spn
gente,Spn
ahí,Spn
se,Spn
me,Spn
hizo,Spn
muy,,Spn
no,Spn
que...no,Spn
sangrona,,Spn
pero...,Spn
>>i:,Spn
Como,Spn
que,Spn
juzgaban,Spn
mucho,,Spn
¿no?,Spn
>>s:,Spn
Sí,,Spn
muy...sí,,Spn
muy,Spn
juzgon...juzgonas...bien...,Spn
Sí,,Spn
juzgaban.,Spn
Con,Spn
solo,Spn
verles,Spn
la,Spn
mirada,Spn
como,Spn
que,Spn
juzgaban,Spn
y,Spn
no,Spn
vi,Spn
eso,Spn
de,Spn
ti.,Spn
Uhm...te,Spn
vi,Spn
muy,Spn
down,Eng
to,Eng
earth.,Eng
Uhm...te,Eng
mirabas.,Spn
>>i:,Spn
Calmado,,Spn
¿no?,Spn
>>s:,Spn
Calmado,,Spn
sí.,Spn
Como:,Spn
ah,,Spn
todo,Spn
está,Spn
bien,Spn
aquí,,Spn
¿verdad?,Spn
>>i:,Spn
¿Y,Spn
alguna,Spn
vez,Spn
me,Spn
dijiste,Spn
una,Spn
mentira,Spn
cuando,Spn
te,Spn
conocí?,Spn
>>s:,Spn
No,Spn
creo.,Spn
No,Spn
que,Spn
yo,Spn
me,Spn
acuerde.,Spn
Si,Spn
me,Spn
recuerdas.,Spn
Si,Spn
me,Spn
dices:,Spn
ah,,Spn
cuando,Spn
me,Spn
dijiste,Spn
esto,,Spn
¿me,Spn
mentiste?,Spn
A,Spn
lo,Spn
mejor,Spn
te,Spn
digo:,Spn
ah,,Spn
sí.,Spn
Pero,Spn
no,,Spn
no,Spn
me,Spn
acuerdo.,Spn
>>i:,Spn
Oye,,Spn
¿y,Spn
hay,Spn
algo,Spn
que,Spn
siempre,Spn
hayas,Spn
querido,Spn
decirme?,Spn
>>s:,Spn
No.,Spn
No,Spn
creo.,Spn
Nada,Spn
más,Spn
que,Spn
eres,Spn
una,Spn
buena,Spn
persona.,Spn
>>i:,Spn
¿Y,Spn
tú,Spn
piensas,Spn
que,Spn
algún,Spn
día,Spn
se,Spn
perderá,Spn
el,Spn
contacto,Spn
entre,Spn
nosotros?,Spn
>>s:,Spn
No,Spn
sé.,Spn
Uhm...te,Spn
puedo,Spn
decir,Spn
que,Spn
ahí,Spn
está,Spn
el,Spn
Facebook,,Spn
so,Eng
sé,Spn
que,Spn
siempre,Spn
si,Spn
necesito,Spn
algo,Spn
o,Spn
si,Spn
necesitas,Spn
algo,Spn
sé,Spn
que,Spn
ahí,Spn
voy,Spn
a,Spn
estar,Spn
para,Spn
lo,Spn
que,Spn
necesites.,Spn
Como,Spn
ahorita,,Spn
dejamos,Spn
de,Spn
ir,Spn
a...se,Spn
acabó...se,Spn
terminó,Spn
la,Spn
clase,Spn
y,Spn
ya,Spn
hubo,Spn
un,Spn
tiempo,Spn
en,Spn
que,Spn
no,Spn
platiqué,Spn
contigo,,Spn
no,Spn
hubo,Spn
como,Spn
comunicación,,Spn
pero,Spn
creo,Spn
que,Spn
como,Spn
quiera,,Spn
si,Spn
nos,Spn
buscamos,,Spn
como,Spn
quiera,Spn
sí,Spn
ahí,Spn
voy,Spn
a,Spn
estar,,Spn
no,Spn
voy,Spn
a,Spn
decir:,Spn
ah,Spn
¿quién,Spn
eres,Spn
tú?,Spn
No,,Spn
creo,Spn
que,Spn
te,Spn
voy...te,Spn
voy,Spn
a,Spn
seguir,Spn
ehm...hablando.﻿1,Spn
00:00:01,300,Spn
-->,Spn
00:00:01,980,Spn
>>i:,Spn
Hola.,NamedEnt
>>s:,Spn
Hola.,NamedEnt
>>i:,Spn
¿Cómo,Spn
te,Spn
llamas?,NamedEnt
>>s:,Spn
Ah,,Spn
mi,Spn
nome...mi,Spn
nombre,Spn
es,Spn
Amanda.,NamedEnt
>>i:,Spn
¿Y,Spn
cuántos,Spn
años,Spn
tienes,Spn
Amanda?,NamedEnt
>>s:,Spn
Tengo,Spn
veinticinco,Spn
años.,Spn
>>i:,Spn
¿Y,Spn
de,Spn
dónde,Spn
eres,Spn
tú?,Spn
>>s:,Spn
Ah...nací,Spn
en,Spn
San,NamedEnt
Antonio,,Eng
Texas.,NamedEnt
>>i:,Spn
¿En,Spn
la,Spn
ciudad,Spn
de,Spn
San,NamedEnt
Antonio,Spn
o,Spn
en?,Spn
>>s:,Spn
Sí.,Spn
>>i:,Spn
¿Y,Spn
de,Spn
dónde,Spn
son,Spn
tus,Spn
padres?,Spn
>>s:,Spn
Mis,Spn
padres,Spn
también,Spn
son,Spn
de,Spn
San,NamedEnt
Antonio.,Spn
>>i:,Spn
¿Y,Spn
qué,Spn
tal,Spn
tus,Spn
abuelos?,Spn
>>s:,Spn
Mis,Spn
abuelos,Spn
ah...son,Spn
de,Spn
pueblos,Spn
bien,Spn
pequeños,Spn
en...,Spn
del,Spn
sur,,Spn
del,Spn
sur,Spn
de,Spn
Texas.,NamedEnt
>>i:,Spn
Y,Spn
¿cuánto,,Spn
siempre,Spn
has,Spn
vivido,Spn
en,Spn
los,Spn
Estados,Spn
Unidos?,Spn
>>s:,Spn
Sí,,Spn
toda,Spn
de,Spn
mi,Spn
vida.,Spn
>>i:,Spn
¿Y,Spn
tienes,Spn
toda,Spn
tu,Spn
familia,Spn
acá?,Spn
¿Tienes,Spn
alguna,Spn
